Date,Sum of Revenue,Sum of Expense
10/01/2024 00:00,15000,7000
15/01/2024 00:00,20000,15000
10/02/2024 00:00,18000,8000
20/02/2024 00:00,21000,16000
05/03/2024 00:00,17000,7500
18/03/2024 00:00,12000,10000
10/04/2024 00:00,19000,8500
22/04/2024 00:00,22000,17000
12/05/2024 00:00,15000,12000
25/05/2024 00:00,20000,9000
15/06/2024 00:00,23000,18000
28/06/2024 00:00,16000,13000
10/07/2024 00:00,21000,9500
20/07/2024 00:00,24000,19000
05/08/2024 00:00,17000,14000
18/08/2024 00:00,22000,10000
10/09/2024 00:00,25000,20000
25/09/2024 00:00,18000,15000
12/10/2024 00:00,23000,10500
28/10/2024 00:00,26000,21000
05/11/2024 00:00,19000,16000
15/11/2024 00:00,24000,11000
10/12/2024 00:00,27000,22000
20/12/2024 00:00,20000,17000AA16:C25
